时装豪礼,Hào Lễ Thời Trang
技能·白虎星降,Kỹ Năng·Bạch Hổ Tinh Giáng
神龙圣印 371级,Thần Long Thánh Ấn Cấp 371
长生宝典,Bí Kíp Trường Sinh
"{""四灵遗迹"",""个人BOSS"",""世界BOSS"",""BOSS巢穴""}","{""Tứ Linh Di Tích"", ""BOSS Cá Nhân"", ""BOSS Thế Giới"", ""Sào Huyệt BOSS""}"
月下狂刀,Nguyệt Hạ Cuồng Đao
罗刹女,La Sát Nữ
提升主人9000点攻击，4500点破甲,"Tăng cho chủ nhân 9000 Công, 4500 Phá giáp"
下品·青莲剑,Thanh Liên Kiếm-Sơ
飞行提升礼包,Lễ Bao Nâng Phi Hành
鵸鵌,Kỳ Dư
狙击战弓特有技能\n对战时增加自身\n10%暴击减免。,Kỹ năng Thư Kích Chiến Cung\nKhi đối chiến tăng cho mình\n10% miễn giảm bạo.
秋日骷髅,Đầu Lâu
秘术·焚体炼血,Bí Thuật·Phần Thể Luyện Huyết
对生命低于30%的目标，额外造成75%的伤害,"Với mục tiêu HP dưới 30%, gây thêm 75% sát thương"
攻击时有10%几率窃取目标的随机一种元素属性，加到自己身上，持续10秒，冷却时间60秒,"Khi tấn công có 10% tỉ lệ đánh cắp 1 thuộc tính nguyên tố ngẫu nhiên của mục tiêu, cộng cho mình, liên tục 10s, thời gian CD 60s"
神兵·爱心锤,Thần Binh·Ái Tâm Chùy
神龙圣印 360级,Thần Long Thánh Ấn Cấp 360
300级可领取,Cấp 300 có thể nhận
"双方不是互为好友,不可结为仙侣","Hai bên không phải hảo hữu, không thể kết thành Tiên Lữ"
攻击时，对目标周围最多3个目标造成200%+26000伤害，20%的概率触发暴击，每40秒释放1次,Với nhiều nhất 3 địch xung quanh mục tiêu tấn công gây ra 200%+26000 sát thương. 20% tỉ lệ kích phát bạo kích. Cứ 40s mở 1 lượt
仙殿12件套,Tiên Điện 12 món
攻击时有5%几率降低对方2%命中，持续3秒，并额外增加250点攻击和250点破甲,"Khi tấn công có 5% tỉ lệ giảm Trúng của đối phương 2%, liên tục 3s, đồng thời tăng thêm 250 Công và 250 Phá giáp"
360级可领取,Cấp 360 có thể nhận
神龙圣印 462级,Thần Long Thánh Ấn Cấp 462
锁妖塔第279层,Tỏa Yêu Tháp Tầng 279
1.3件<color=#ff3b3b>15阶3星红装玉佩</color>+<color=#ff3b3b>混元圣石*19</color>可合成,1. 3 món <color=#ff3b3b>15 Giai Đỏ Bội 3 Sao</color>+<color=#ff3b3b>Hỗn Nguyên Thánh Thạch*19</color> có thể hợp thành
独向长空万里游,独向长空 Vạn里游
10阶仙童激活,10 Giai Tiên Đồng kích hoạt
星月交辉扇,Tinh Nguyệt Giao Huy Phiến
对单个敌人造成400%伤害，冷却为1秒,Với địch đơn gây 400% sát thương. CD 1s
可在<color=#00ff00>魔剑</color>职业技能界面使用，提升<color=#00ff00>三转技能【剑心通明】</color>等级:\n<color=#00ff00>1级效果</color>：永久增加自身20%的基础生命和1000点附加减伤\n<color=#00ff00>2级效果</color>：永久增加自身2%的会心抵抗和1000点附加减伤\n<color=#00ff00>3级效果</color>：永久增加自身2%的PVP减伤和1000点附加减伤\n<color=#00ff00>4级效果</color>：永久增加自身20%的基础防御和1000点附加减伤\n<color=#00ff00>5级效果</color>：永久增加自身3%的会心抵抗和1000点附加减伤,"Dùng tại giao diện kỹ năng nghề <color=#00ff00>Ma Kiếm</color>, nâng cấp độ <color=#00ff00>kỹ năng 3 chuyển【Kiếm Tâm Thông Minh】</color>:\n<color=#00ff00>Hiệu quả Lv.1</color>: Tăng vĩnh viễn cho mình 20% HP cơ bản và 1000 điểm giảm thương kèm\n<color=#00ff00>Hiệu quả Lv.2</color>: Tăng vĩnh viễn cho mình 2% Kháng Hội Tâm và 1000 điểm giảm thương kèm\n<color=#00ff00>Hiệu quả Lv.3</color>: Tăng vĩnh viễn cho mình 2% Giảm S.Thg PVP và 1000 điểm giảm thương kèm\n<color=#00ff00>Hiệu quả Lv.4</color>: Tăng vĩnh viễn cho mình 20% thủ cơ bản và 1000 điểm giảm thương kèm\n<color=#00ff00>Hiệu quả Lv.5</color>: Tăng vĩnh viễn cho mình 3% Kháng Hội Tâm và 1000 điểm giảm thương kèm"
敖烈,Ngạo Liệt
异界精品宝箱,Rương Dị Giới-Sơ
灵宠攻击时有5%几率给主人增加一个灵宠自身生命值24%的护盾，持续5秒，冷却时间30秒,"Khi Linh Sủng tấn công có 5% tỉ lệ cho chủ nhân 1 hộ thuẫn bằng 24% điểm HP của Linh Sủng, liên tục 5s, thời gian CD 30s"
异界,Dị Giới
提升主人900点命中,Tăng cho chủ nhân 900 điểm Trúng
1.合成材料：\n<color=#ffd700>初阶仙灵</color>、<color=#ffd700>洗髓丹*30</color>、<color=#ffd700>初级仙灵晶*2</color>、\n<color=#ffd700>高级仙灵晶*1</color>,"1. Nguyên liệu hợp thành: \n<color=#ffd700>Sơ Giai Tiên Linh</color>, <color=#ffd700>Tẩy Tủy Đan*30</color>, <color=#ffd700>Tiên Linh Tinh-Sơ*2</color>,\n<color=#ffd700>Tiên Linh Tinh-Cao*1</color>"
混沌战域活动已经开启，快去参加活动吧！！！,"Hỗn Độn Chiến Vực đã mở, mau đến tham gia!"
齐天大圣龙魂随机礼包,Lễ Bao Tề Thiên Đại Thánh Long Hồn Ngẫu Nhiên
提升主人700点闪避,Tăng cho chủ nhân 700 Né
大鹏金翅碎片,Mảnh Kim Sí Đại Bằng
第一名：$1，$4积分，结束后可获得10%珍贵物品掉落加成BUFF\n第二名：$2，$5积分，结束后可获得8%珍贵物品掉落加成BUFF\n第三名：$3，$6积分，结束后可获得5%珍贵物品掉落加成BUFF,"Top 1: $1, $4 Tích Điểm, sau khi kết thúc nhận 10% rơi vật phẩm quý hiếm\nTop 2: $2, $5 Tích Điểm, sau khi kết thúc nhận 8% rơi vật phẩm quý hiếm\nTop 3: $3, $6 Tích Điểm, sau khi kết thúc nhận 5% rơi vật phẩm quý hiếm"
注灵进阶石,Chú Linh Tiến Giới Đan
天罡戒指,Thiên Cương Giới
使用后可解锁与提升神石-<color=#FFD700>预知神石</color>：\n激活可加成：\n<color=#00ff00>战力+700000\n生命+350000\n攻击+17500\n防御+17500\n破甲+17500</color>\n<color=#FFD700>预知神石</color>激活后可继续增强灭世·月光宝盒的技能效果：\n神石散发的光芒不停的变换形状，像是在提醒你接下来发生的事情。镶嵌后，时空穿梭技能触发时，免疫一切负面效果。,"Kích hoạt và nâng cấp Thần Thạch-<color=#FFD700>Dự Tri Thần Thạch</color>: \nThuộc tính: \n<color=#00ff00>Chiến lực +700000\nHP +350000\nCông +17500\nThủ +17500\nPhá giáp +17500</color>\n<color=#FFD700>Dự Tri Thần Thạch</color> tăng hiệu quả kỹ năng Diệt Thế·Nguyệt Quang Hộp: \nSau khi khảm, kích phát Thời Không Xuyên Thoa sẽ miễn idchj toàn bộ hiệu quả phụ."
使用后可激活与提升<color=#ff3b3b>冰魄剑</color>\n激活可加成：\n<color=#00ff00>战力+150000\n</color><color=#00ff00>生命+100000\n攻击+5000\n防御+2500\n破甲+2500</color>\n<color=#FF0000>神兵总属性+10%</color>,Kích hoạt và nâng cấp <color=#ff3b3b>Băng Phách Kiếm</color>\nThuộc tính: \n<color=#00ff00>Chiến lực +150000\n</color><color=#00ff00>HP +100000\nCông +5000\nThủ +2500\nPhá giáp +2500</color>\n<color=#FF0000>Tổng T.Tính Thần Binh+10%</color>
恭喜你所在阵营在三界争夺战玩法中获得胜利，以下是你的奖励,"Chúc mừng Trận Doanh của bạn nhận thắng lợi trong Cách Chơi Tam Giới Tranh Đoạt Chiến, dưới đây là thưởng của bạn"
10-11阶橙二星装备宝箱,Rương Trang Bị Cam 10-11 Giai 2 Sao
使用后可解锁与提升神石-<color=#FFD700>圣水精华</color>：\n激活可加成：\n<color=#00ff00>战力+100000\n生命+50000\n攻击+2500\n防御+2500\n破甲+2500</color>\n<color=#FFD700>圣水精华</color>激活后可继续增强灭世·圣杯的技能效果：\n净化死者的骸骨，使他们的灵魂可以升华。镶嵌后，生命汲取的触发概率翻倍。,"Kích hoạt và nâng cấp Thần Thạch-<color=#FFD700>Thánh Thủy Tinh Hoa</color>: \nThuộc tính: \n<color=#00ff00>Chiến lực +100000\nHP +50000\nCông +2500\nThủ +2500\nPhá giáp +2500</color>\n<color=#FFD700>Thánh Thủy Tinh Hoa</color>Tăng hiệu quả kỹ năng Diệt Thế·Cốc Thánh: \nSau khi khảm, tỉ lệ kích phát Sinh Mệnh Cấp Thủ x2"
防御+1000，生命+20000,"Thủ +1000, HP +20000"
减少雷震子变身CD12秒,Giảm CD biến thân Lôi Chấn Tử 12s
"{""九州狂徒"",""九州狂徒"",""九州狂徒"",""九州狂徒""}","{""Cửu Châu Cuồng Đồ"",""Cửu Châu Cuồng Đồ"",""Cửu Châu Cuồng Đồ"",""Cửu Châu Cuồng Đồ""}"
二级雷属性石,(Lôi)Thuộc Tính Thạch Lv.2
"{""冥"",""煞""}","{""Minh"",""Sát""}"
百战裤,Bách Chiến Khố
"亲密度不足$1,不可结为仙侣","Độ Thân Mật không đủ $1, không thể kết thành Tiên Lữ"
疆场·硝烟弥漫,Cương Trường·Tiêu Yên Di Man
【继承说明】,【Giải Thích Kế Thừa】
圣装可拆解，拆解后返还全部混元圣石与七阶神装玉佩*3,"Phân tách Thánh Trang, trả lại toàn bộ Hỗn Độn Thánh Thạch và 7 Giai Thần Bội*3"
被强控（眩晕、定身、冰冻、沉默）时，所受伤害减少4%,"Khi bị khống chế (Choáng, Định Thân, Đóng Băng, Im Lặng), toàn bộ sát thương nhận vào giảm 4%"
您在魔乱苍穹活动中，尚有以下奖励未领取，现已邮件形式发放给您！！！,"Bạn trong hoạt động Ma Loạn Thương Khung, còn thưởng chưa nhận dưới đây, hiện đã phát qua thư cho bạn!!!"
末日峡谷战场将在<color=#00FF0CFF>$1</color>后开战,Chiến Trường Mạt Nhật Hạp Cốc sẽ bắt đầu sau <color=#00FF0CFF>$1</color>
激活后，金龙变身时格挡穿透提升20%,"Sau khi kích hoạt, khi biến thân Kim Long Xuyên Đỡ tăng 20%"
使用后可激活与提升<color=#ff3b3b>清风霁月</color>\n激活可加成：\n<color=#00ff00>战力+277500\n生命+75000\n攻击+8000\n暴击+8000\n韧性+8000</color>\n<color=#FF0000>攻击加成+1%</color>\n套装激活：【<color=#ff3b3b>异域圣王/color>】\n套装技能：<color=#ff3b3b>攻击时有几率触发天道执刑，死神附身，移除敌人身上所有增益状态并使其无法释放技能3秒，冷却60秒</color>,"Kích hoạt và nâng cấp <color=#ff3b3b>Thanh Phong Tế Nguyệt </color>\nThuộc tính: \n<color=#00ff00>Chiến lực +277500\nHP +75000\nCông +8000\nBạo +8000\nDẻo +8000</color>\n<color=#FF0000>Công +1%</color>\nKích hoạt bộ: 【<color=#ff3b3b>Dị Vực Thánh Vương/color>】\nKỹ năng bộ: <color=#ff3b3b>khi tấn công có tỷ lệ kích phát Thiên Đạo Chấp Hình, tử thần ám thân, gỡ bỏ toàn bộ trạng thái trên người địch và khiến chúng không thể thi triển kỹ năng 3s, CD 60s</color>"
使用后随机获得以下道具中的一种：\n<color=#00ff00>二级红宝石*1\n二级蓝宝石*1</color>,Ngẫu nhiên nhận 1 đạo cụ sau: \n<color=#00ff00>Bảo Thạch Đỏ Cấp 2*1\nBảo Thạch Lam Cấp 2*1</color>
神威表哥,Ðức Toàn
玉玺神令石,Ngọc Tỉ Thần Lệnh Thạch
伏地魔,Tài Ðức
绝版,Tuyệt Bản
杀生道伤害加成,Tăng Sát Thương Sát Sinh Đạo
"{""基础说明"",""失败回馈""}","{""Quy Tắc Cơ Bản"", ""Hồi Đáp Thất Bại""}"
神龙圣印 346级,Thần Long Thánh Ấn Cấp 346
仙境·仙音幻境,Tiên Cảnh·Tiên Âm Huyễn Cảnh
<color=#513C30FF>已淬炼到极致</color>,<color=#513C30FF> đã tôi luyện đến cao nhất </color>
御雷天罡阵,Ngự Lôi Thiên Cương Trận
您要分解的器灵中含有高品质器灵，您确定要分解吗？,"Khí Linh mà bạn muốn phân giải có Linh Khí Phẩm Chất Cao, bạn xác nhận muốn phân giải không?"
鱼龙变,Ngư Long Biến
动作卡·鼓掌,Thẻ Động Tác·Vỗ Tay
提升主人700点防御,Tăng cho chủ nhân 700 Thủ
提升主人5800点防御116000点生命,Tăng cho chủ nhân 5800 Thủ 116000 HP
提升自身30%的伤害，持续3秒,Tăng 30% sát thương của mình. Liên tục 3s
所有技能伤害提升25%,Toàn bộ sát thương kỹ năng +25%
你今天完成了$1环的$2任务，获得以下酬金。,"Hôm nay hoàn thành vòng $1 nhiệm vụ $2, nhận thù lao sau."
攻击时有10%概率降低目标9%的攻击，持续5秒，冷却时间30秒,"Khi tấn công có 10% tỉ lệ giảm của mục tiêu 9% Công, liên tục 5s, thời gian CD 30s"
使用后可激活与提升<color=#ff3b3b>弑神妖姬伞</color>\n激活可加成：\n<color=#00ff00>战力+15000\n生命+10000\n攻击+500\n防御+500</color>,Kích hoạt và nâng cấp <color=#ff3b3b>Sát Thần Yêu Cơ Tán</color>\nThuộc tính: \n<color=#00ff00>Chiến lực +15000\nHP +10000\nCông +500\nThủ +500</color>
集齐<color=#00ff00>100</color>个魂卡后可激活<color=#FF85A3>SR</color>神将-<color=#FF85A3>赤翼魔将</color>\n<color=#00ff00>战力+170000\n生命+50000\n攻击+2500\n防御+1000\n破甲+1000\n附加伤害+1000</color>\n<color=#ff3b3b>生命加成+2%</color> \n\n赤翼魔将技能效果：\n<color=#00ff00>妖魔之怒</color>：对周围6个敌人造成<color=#ff3b3b>1000%</color>伤害，并提升角色<color=#ff3b3b>10%</color>伤害反弹，持续<color=#ff3b3b>10</color>秒，冷却为<color=#ff3b3b>40</color>秒\n<color=#00ff00>魔灵枪</color>：对单个敌人造成<color=#ff3b3b>200%</color>伤害，冷却为<color=#ff3b3b>1</color>秒\n<color=#00ff00>神魔之力</color>：技能激活后，每<color=#ff3b3b>30</color>秒会攻击释放【神魔之力】，对周围目标个敌人造成<color=#ff3b3b>600%</color>伤害,"Đủ <color=#00ff00>100</color> mảnh sẽ kích hoạt Thần Tướng cấp <color=#FF85A3>SR</color>-<color=#FF85A3>Xích Dực Ma Tướng</color>\n<color=#00ff00>Chiến lực +170000\nHP +50000\nCông +2500\nThủ +1000\nPhá giáp +1000\nS.Thg thêm +1000</color>\n<color=#ff3b3b>HP +2%</color> \n\nHiệu quả kỹ năng Xích Dực Ma Tướng: \n<color=#00ff00>Yêu Ma Nộ</color>: Với 6 địch xung quanh gây ra <color=#ff3b3b>1000%</color> sát thương. Nhân vật tăng <color=#ff3b3b>10%</color> phản đạn sát thương, liên tiếp <color=#ff3b3b>10</color>s, CD là <color=#ff3b3b>40</color>s\n<color=#00ff00>Ma Linh Thương</color>: Với 1 địch gây ra <color=#ff3b3b>200%</color> sát thương. CD là <color=#ff3b3b>1</color>s\n<color=#00ff00>Thần Ma Lực</color>: Sau khi kích hoạt kĩ năng, cách <color=#ff3b3b>30</color>s sẽ thi triển tấn công 【Thần Ma Lực】, với 1 địch mục tiêu xung quanh gây ra <color=#ff3b3b>600%</color> sát thương"
祈福功能$1级开启,Mở tính năng Cầu Phúc cấp $1
使用后可激活与提升头像框-<color=#ff3b3b>注连绳</color>\n激活可加成：\n<color=#00ff00>战力+100000\n生命+68000\n攻击+3400\n防御+3200</color>\n\n分解后可获得<color=#00ff00>157</color>头像框精华，可提升头像框等级,"Kích hoạt và nâng cấp Khung Avatar-<color=#ff3b3b>Dây Thừng</color>\nThuộc tính: \n<color=#00ff00>Chiến lực +100000\nHP +68000\nCông +3400\nThủ +3200</color>\n\nPhân giải nhận <color=#00ff00>157</color> Tinh Hoa Khung Avatar, có thể thăng cấp Khung Avatar"
提升主人4200点防御84000点生命,Tăng cho chủ nhân 4200 Thủ 84000 HP
公告修改成功！,Công cáo sửa thành công！
您被<color=#d60dd4><$1></color><color=#008fe9>$2</color>任命为<color=#d60dd4><$3></color>，位列$4榜，望阁下协助新王励精图治，捍卫阵容荣光！,"Bạn được <color=#d60dd4><$1></color> <color=#008fe9>$2</color> bổ nhiệm là <color=#d60dd4><$3></color>, hạng $4 bảng, hy vọng các hạ trợ giúp tân vương dốc sức vì nước, bảo vệ đội ngũ vinh quang!"
反射几率,Tỉ lệ Phản Xạ
神域,Thần Vực
完成【神王之路】可以激活神兽变身技能,Hoàn thành【Thần Vương Lộ】 kích hoạt kĩ năng Thần Thú Biến Thân
提升主人1900点防御,Tăng cho chủ nhân 1900 Thủ
神品阵法礼包,Lễ Bao Trận Pháp-Siêu
拿海量经验，职业技能书！,"Lấy lượng lớn EXP, nghề kỹ năng thư!"
伏魔罗汉魂卡,Mảnh Phục Ma La Hán
守夜人,Cao Nguyên
遭受眩晕时，有50%几率触发3秒无敌效果，冷却时间60秒,"Khi bị choáng, có 50% tỉ lệ kích phát 3s hiệu quả Vô Địch, thời gian CD 60s"
大圣变身后，攻击时无视目标防御60%,"Sau khi biến thân Đại Thánh, khi tấn công bỏ qua thủ của mục tiêu 60%"
闪避加成,Tăng Né
可在元素宝石界面中进行镶嵌：<color=#00ff00>\n火属性攻击+41</color>,Khảm tại giao diện Nguyên Tố Bảo Thạch: <color=#00ff00>\nT.Tính Hỏa-Công +41</color>
状态：<color=#03ff57>已激活,Trạng thái: <color=#03ff57>Đã kích hoạt
次,Lượt
使用后可激活混沌钟-折扣,Kích hoạt Hỗn Độn Chung-Giảm Giá
惊梦靴,Kinh Mộng Ngoa
敖丙猎灵火,Ngao Bính Liệp Linh Hỏa
四赤炎将,Tứ Xích Viêm Tướng
天将<color=#00FF00>$1</color>今日有概率出现,Thiên Tướng <color=#00FF00>$1</color> hôm nay có tỉ lệ xuất hiện
